3456,9234,5
3457,9851,1
3457,9852,4
3459,9850,3
3460,9850,5
3460,9849,2
3462,9221,2
3462,9220,2
3464,9221,2
3464,9220,1
3466,9851,1
3467,9849,3
3487,4324,2
3469,4355,4
3456,4322,3
3456,9218,3
3457,4356,1
3457,4324,2
3466,4355,1
3466,4356,4
3466,9219,1
3466,9333,5
3479,9852,1
3479,9851,1
3480,9850,4
3481,9849,3
3464,9218,2
3483,9221,3
3464,4321,5
3487,4355,1
3487,9849,5
3487,9850,1
3488,9851,1
3489,9220,5
3490,9219,3
3491,9333,3
3492,4322,1
3493,4323,4
3494,9852,5
3495,4321,5
3496,9851,1
3497,9852,1
3498,9333,1
3499,9234,1
3499,9233,3
3499,9219,4
3499,9220,2
3503,9333,1
3479,4321,1
